Description,ABT
Strategy Name,Short Term Simple Strategy
Trade actions from,2019-10-09 00:00:00
Trade actions to,2020-10-08 00:00:00
Look back periods,60
Prediction periods,1
Total number of trade days,252
In yrs rounded up,1
Total trades conducted,15
Account starting balance,50000
Account ending balance,59946.33391863342
Account share balance,0
Account Close Value,0
Profit/Loss,9946.33391863342
Total Percentage return (whole period),19.89266783726684
Percentage return per yr,19.89266783726684
Banking returns,50750.0
RMSE,2.434866457788981
Number of right calls,133
Right calls %,52.77777777777778
Number of wrong calls,119
Wrong calls %,47.22222222222222
