Description,FBHS
Strategy Name,Short Term Simple Strategy
Trade actions from,2019-10-09 00:00:00
Trade actions to,2020-10-08 00:00:00
Look back periods,60
Prediction periods,1
Total number of trade days,252
In yrs rounded up,1
Total trades conducted,10
Account starting balance,50000
Account ending balance,54064.98576600445
Account share balance,0
Account Close Value,0
Profit/Loss,4064.985766004451
Total Percentage return (whole period),8.129971532008902
Percentage return per yr,8.129971532008902
Banking returns,50750.0
RMSE,1.9678919874949796
Number of right calls,148
Right calls %,58.730158730158735
Number of wrong calls,104
Wrong calls %,41.269841269841265
