Description,MGA
Strategy Name,Short Term Simple Strategy
Trade actions from,2019-10-12 00:00:00
Trade actions to,2020-10-11 00:00:00
Look back periods,60
Prediction periods,1
Total number of trade days,250
In yrs rounded up,1
Total trades conducted,4
Account starting balance,50000
Account ending balance,53005.26136696979
Account share balance,0
Account Close Value,0
Profit/Loss,3005.2613669697894
Total Percentage return (whole period),6.010522733939578
Percentage return per yr,6.010522733939578
Banking returns,50750.0
RMSE,0.7957696859348468
Number of right calls,144
Right calls %,57.599999999999994
Number of wrong calls,106
Wrong calls %,42.4
