Description,PWR
Strategy Name,Short Term Simple Strategy
Trade actions from,2019-10-09 00:00:00
Trade actions to,2020-10-08 00:00:00
Look back periods,60
Prediction periods,1
Total number of trade days,252
In yrs rounded up,1
Total trades conducted,8
Account starting balance,50000
Account ending balance,54225.1866894755
Account share balance,0
Account Close Value,0
Profit/Loss,4225.1866894755
Total Percentage return (whole period),8.450373378951001
Percentage return per yr,8.450373378951001
Banking returns,50750.0
RMSE,0.6412742588024687
Number of right calls,146
Right calls %,57.936507936507944
Number of wrong calls,106
Wrong calls %,42.06349206349206
